Institution,Fiscal Year,Study Level,Program Name,HEADCOUNT
Metropolitan,2012-2013,Undergraduate,Aerospace Engineering,*
Metropolitan,2012-2013,Undergraduate,Architectural Science,309
Metropolitan,2012-2013,Undergraduate,Arts Undeclared,*
Metropolitan,2012-2013,Undergraduate,Arts and Contemporary Studies,461
Metropolitan,2012-2013,Undergraduate,BT Knowledge & Data Mgt. CTPT,0
Metropolitan,2012-2013,Undergraduate,Bachelor of Arts,1951
Metropolitan,2012-2013,Undergraduate,Bachelor of Engineering,2342
Metropolitan,2012-2013,Undergraduate,Bachelor of Science,792
Metropolitan,2012-2013,Undergraduate,Biology,*
Metropolitan,2012-2013,Undergraduate,Bus. Mgt. Part-Time,*
Metropolitan,2012-2013,Undergraduate,BusTech Applications Dev. CAAT,*
Metropolitan,2012-2013,Undergraduate,Business Management,4947
Metropolitan,2012-2013,Undergraduate,Business Tech Mgt CAAT,25
Metropolitan,2012-2013,Undergraduate,Business Tech. Mgt. PT,23
Metropolitan,2012-2013,Undergraduate,Business Technology Mgt.,797
Metropolitan,2012-2013,Undergraduate,BusinessTech Mgt CAAT PT,*
Metropolitan,2012-2013,Undergraduate,Chemical Engineering Coop,*
Metropolitan,2012-2013,Undergraduate,Chemistry,*
Metropolitan,2012-2013,Undergraduate,Child and Youth Care,258
Metropolitan,2012-2013,Undergraduate,Civil Engineering,*
Metropolitan,2012-2013,Undergraduate,Coll. Nursing Centennial,388
Metropolitan,2012-2013,Undergraduate,Coll. Nursing George Brown,419
Metropolitan,2012-2013,Undergraduate,Collaborative Nursing Ryerson,554
Metropolitan,2012-2013,Undergraduate,Computer Engineering,*
Metropolitan,2012-2013,Undergraduate,Computer Science,430
Metropolitan,2012-2013,Undergraduate,Contemporary Science,*
Metropolitan,2012-2013,Undergraduate,Criminal Justice,*
Metropolitan,2012-2013,Undergraduate,Disability Studies Part-time,*
Metropolitan,2012-2013,Undergraduate,Early Childhood Ed CTPT,0
Metropolitan,2012-2013,Undergraduate,Early Childhood Education,0
Metropolitan,2012-2013,Undergraduate,Early Childhood Studies,586
Metropolitan,2012-2013,Undergraduate,Early Childhood Studies CTPT,*
Metropolitan,2012-2013,Undergraduate,Electrical Engineering,*
Metropolitan,2012-2013,Undergraduate,Fashion Communication,281
Metropolitan,2012-2013,Undergraduate,Fashion Design,221
Metropolitan,2012-2013,Undergraduate,Geographic Analysis,94
Metropolitan,2012-2013,Undergraduate,Graphic Communications Mgt.,419
Metropolitan,2012-2013,Undergraduate,Health Services Management PT,*
Metropolitan,2012-2013,Undergraduate,Hospitality & Tourism Mgt.,477
Metropolitan,2012-2013,Undergraduate,Image Arts-Film Studies,276
Metropolitan,2012-2013,Undergraduate,Image Arts-New Media,217
Metropolitan,2012-2013,Undergraduate,Image Arts-Photography Studies,220
Metropolitan,2012-2013,Undergraduate,Interior Design,286
Metropolitan,2012-2013,Undergraduate,Intern'l Economics & Finance,187
Metropolitan,2012-2013,Undergraduate,Journalism,524
Metropolitan,2012-2013,Undergraduate,Justice Studies Part-time,*
Metropolitan,2012-2013,Undergraduate,Mechanical Engineering,*
Metropolitan,2012-2013,Undergraduate,Medical Physics,0
Metropolitan,2012-2013,Undergraduate,Midwifery,62
Metropolitan,2012-2013,Undergraduate,Midwifery Part-time,11
Metropolitan,2012-2013,Undergraduate,Nursing Deg Completion PT,78
Metropolitan,2012-2013,Undergraduate,Nursing Degree Completion,109
Metropolitan,2012-2013,Undergraduate,Nutrition and Food,228
Metropolitan,2012-2013,Undergraduate,Occ & Pub Hlth for Grads - OHS,19
Metropolitan,2012-2013,Undergraduate,Occ & Pub Hlth for Grads - PHS,55
Metropolitan,2012-2013,Undergraduate,Occ & Public Health-OHS,106
Metropolitan,2012-2013,Undergraduate,Occ. & Public Health-PHS,187
Metropolitan,2012-2013,Undergraduate,Performance Acting,86
Metropolitan,2012-2013,Undergraduate,Performance Dance,115
Metropolitan,2012-2013,Undergraduate,Performance Production,226
Metropolitan,2012-2013,Undergraduate,Politics and Governance,*
Metropolitan,2012-2013,Undergraduate,Post Baccalaureate Midwifery,*
Metropolitan,2012-2013,Undergraduate,Psychology,*
Metropolitan,2012-2013,Undergraduate,Public Admin and Governance,*
Metropolitan,2012-2013,Undergraduate,Radio and Television,564
Metropolitan,2012-2013,Undergraduate,Retail Management,317
Metropolitan,2012-2013,Undergraduate,Retail Management Part-time,*
Metropolitan,2012-2013,Undergraduate,Social Work,565
Metropolitan,2012-2013,Undergraduate,Social Work Part-time,58
Metropolitan,2012-2013,Undergraduate,Sociology,*
Metropolitan,2012-2013,Undergraduate,Urban & Regional Plan DC,*
Metropolitan,2012-2013,Undergraduate,Urban & Regional Plan PB,31
Metropolitan,2012-2013,Undergraduate,Urban & Regional Planning,328
Metropolitan,2012-2013,Graduate,Envir. App.Sci.& Mgt.,50
Metropolitan,2012-2013,Graduate,MA Communication & Culture,27
