Institution,Fiscal Year,Study Level,Program Name,HEADCOUNT
Toronto,2012-2013,Undergraduate,ARTS,20074
Toronto,2012-2013,Undergraduate,Anglican Studies,*
Toronto,2012-2013,Undergraduate,Bachelor of Science Physician Assistant,28
Toronto,2012-2013,Undergraduate,COMMERCE,6317
Toronto,2012-2013,Undergraduate,Chemical Engineering,467
Toronto,2012-2013,Undergraduate,Christian Studies,*
Toronto,2012-2013,Undergraduate,Civil Engineering,489
Toronto,2012-2013,Undergraduate,Computer Engineering,365
Toronto,2012-2013,Undergraduate,Concurrent Teacher Education Program - Intermediate/Senior,0
Toronto,2012-2013,Undergraduate,Concurrent Teacher Education Program - Primary/Junior,0
Toronto,2012-2013,Undergraduate,Dentistry - DDS,315
Toronto,2012-2013,Undergraduate,Divinity,172
Toronto,2012-2013,Undergraduate,Doctor of Medicine (MD),989
Toronto,2012-2013,Undergraduate,Education,906
Toronto,2012-2013,Undergraduate,Education - Adult Education & Counselling Psychology,0
Toronto,2012-2013,Undergraduate,Education - Technological Studies,51
Toronto,2012-2013,Undergraduate,Education - Technological Studies Apprenticeship,*
Toronto,2012-2013,Undergraduate,Electrical Engineering,784
Toronto,2012-2013,Undergraduate,Engineering,175
Toronto,2012-2013,Undergraduate,Engineering Science,528
Toronto,2012-2013,Undergraduate,Engineering Science (Aerospace),58
Toronto,2012-2013,Undergraduate,Engineering Science (Bio Med Sys),30
Toronto,2012-2013,Undergraduate,Engineering Science (Biomedical),26
Toronto,2012-2013,Undergraduate,Engineering Science (Elec & Comp),116
Toronto,2012-2013,Undergraduate,Engineering Science (Energy Sys),29
Toronto,2012-2013,Undergraduate,Engineering Science (Infrastruct),39
Toronto,2012-2013,Undergraduate,Engineering Science (Manufact Sys),*
Toronto,2012-2013,Undergraduate,"Engineering Science (Math,Sta,Fin)",36
Toronto,2012-2013,Undergraduate,Engineering Science (Nano),12
Toronto,2012-2013,Undergraduate,Engineering Science (Physics),21
Toronto,2012-2013,Undergraduate,English - 2nd language teaching,37
Toronto,2012-2013,Undergraduate,Human Resource Management,*
Toronto,2012-2013,Undergraduate,Ignatian Spirituality,0
Toronto,2012-2013,Undergraduate,Industrial Engineering,346
Toronto,2012-2013,Undergraduate,Kinesiology,286
Toronto,2012-2013,Undergraduate,Law - JD,552
Toronto,2012-2013,Undergraduate,Law - joint JD & graduate degree,28
Toronto,2012-2013,Undergraduate,Materials Engineering,188
Toronto,2012-2013,Undergraduate,Mechanical Engineering,655
Toronto,2012-2013,Undergraduate,Medical Radiation Sciences,316
Toronto,2012-2013,Undergraduate,Mineral Engineering,124
Toronto,2012-2013,Undergraduate,Music,106
Toronto,2012-2013,Undergraduate,Music - Concurrent Teacher Education,99
Toronto,2012-2013,Undergraduate,Music Performance,279
Toronto,2012-2013,Undergraduate,Music Teacger Education,79
Toronto,2012-2013,Undergraduate,Non-Program,3162
Toronto,2012-2013,Undergraduate,Nursing,338
Toronto,2012-2013,Undergraduate,Operatic Performance,*
Toronto,2012-2013,Undergraduate,Pastoral Studies,*
Toronto,2012-2013,Undergraduate,Pharmacy,996
Toronto,2012-2013,Undergraduate,Physical & Health Education,535
Toronto,2012-2013,Undergraduate,Religious Education,*
Toronto,2012-2013,Undergraduate,SCIENCE,19008
Toronto,2012-2013,Undergraduate,Sacred Music,*
Toronto,2012-2013,Undergraduate,Theological Studies,33
Toronto,2012-2013,Undergraduate,Theology,10
Toronto,2012-2013,Undergraduate,Theology - Ministerial Studies,*
Toronto,2012-2013,Graduate,Aerospace Science & Engineering,144
Toronto,2012-2013,Graduate,Anthropology,166
Toronto,2012-2013,Graduate,Applied Computing,25
Toronto,2012-2013,Graduate,Architecture,267
Toronto,2012-2013,Graduate,Art History,55
Toronto,2012-2013,Graduate,Astronomy & Astrophysics,38
Toronto,2012-2013,Graduate,Biochemistry,127
Toronto,2012-2013,Graduate,Biomedical Communications,31
Toronto,2012-2013,Graduate,Biomedical Engineering,208
Toronto,2012-2013,Graduate,Biotechnology,71
Toronto,2012-2013,Graduate,Botany,*
Toronto,2012-2013,Graduate,Business Administration,885
Toronto,2012-2013,Graduate,Business Administration (Executive),196
Toronto,2012-2013,Graduate,Cell & Systems Biology,178
Toronto,2012-2013,Graduate,Chemical Engineering & Applied Chemistry,189
Toronto,2012-2013,Graduate,Chemistry,267
Toronto,2012-2013,Graduate,Cinema Studies,13
